# 4x4 rigid transform: X_obj = T @ [X_lnd, 1]
0.997850909 -0.065525285 0.000000000 -66.907765702
0.065525285 0.997850909 0.000000000 -99.884257570
0.000000000 0.000000000 1.000000000 -0.076376952
0.000000000 0.000000000 0.000000000 1.000000000
# fitted on 3D-measured landmarks only; excluded: 7, 8, 9, 10, 11, 12, 13, 14, 28
# RMS of fitted landmarks (mm): 0.2377
# max distance of fitted landmarks (mm): 0.5180
# landmark 1: 0.0652
# landmark 2: 0.3115
# landmark 3: 0.3425
# landmark 4: 0.1866
# landmark 5: 0.1045
# landmark 6: 0.1604
# landmark 7: 1.3317 (not fitted, z filled-in)
# landmark 8: 0.5882 (not fitted, z filled-in)
# landmark 9: 0.3874 (not fitted, z filled-in)
# landmark 10: 0.7681 (not fitted, z filled-in)
# landmark 11: 2.8196 (not fitted, z filled-in)
# landmark 12: 1.8735 (not fitted, z filled-in)
# landmark 13: 0.4341 (not fitted, z filled-in)
# landmark 14: 0.8768 (not fitted, z filled-in)
# landmark 15: 0.3185
# landmark 16: 0.3549
# landmark 17: 0.3255
# landmark 18: 0.1269
# landmark 19: 0.1599
# landmark 20: 0.1259
# landmark 21: 0.5180
# landmark 22: 0.0695
# landmark 23: 0.1545
# landmark 24: 0.1146
# landmark 25: 0.2544
# landmark 26: 0.1025
# landmark 27: 0.0828
# landmark 28: 3.6939 (not fitted, z filled-in)
